,index,edu_1,edu_2,edu_3
0,2008_2,43.44,37.3,19.25
1,2009_2,42.2,39.27,18.53
2,2010_2,42.17,38.45,19.37
3,2011_2,42.44,37.19,20.37
4,2012_2,40.94,38.23,20.83
5,2013_2,39.3,39.66,21.04
6,2014_2,38.6,39.89,21.51
7,2015_2,38.46,39.68,21.86
8,2016_2,38.88,38.86,22.26
9,2017_2,37.1,40.43,22.47
10,2018_2,35.65,40.58,23.77
